,"Active Status","Type","Item","Description","Sales Tax Code","Account","COGS Account","Asset Account","Accumulated Depreciation","Purchase Description","Quantity On Hand","Cost","Preferred Vendor","Tax Agency","Price","Reorder Pt (Min)","MPN"
,"Active","Inventory Part","MBCCRT","MOTOBATT RING TERMINAL ADAPTER","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"MOTOBATT RING TERMINAL ADAPTER",0,1.29,"MOTOBATT",,7.49,"","MBCCRT"
,"Active","Inventory Part","MBCDISPLAY","MOTOBATT COUNTER DISPLAY WITH DUMMY BATTERY","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"MOTOBATT COUNTER DISPLAY WITH DUMMY BATTERY",-5,7.39,"MOTOBATT",,8.95,"","MBCDISPLAY"
,"Active","Inventory Part","MBCFB","12V  FAT BOY  CHARGER","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"12V  FAT BOY  CHARGER",-16,24.43,"MINT",,45.95,"","MBCFB"
,"Active","Inventory Part","MBCL10","10'  18G  CABLE EXTENSION","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"10'  18G  CABLE EXTENSION",-124,1.42,"MINT",,8.49,"","MBCL10"
,"Active","Inventory Part","MBCL25","25' EXTENSION","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"25' EXTENSION",-7,2.70,"MINT",,12.95,"","MBCL25"
,"Active","Inventory Part","MBCL5","5' 18G CABLE EXTENSIONS","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"5' 18G CABLE EXTENSIONS",-183,1.01,"MINT",,4.95,"","MBCL5"
,"Active","Inventory Part","MBCLB","12V LITTLE BOY CHARGER","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"12V LITTLE BOY CHARGER",-55,12.44,"MINT",,37.95,"","MBCLB"
,"Active","Inventory Part","MBCWB","12V WATER BOY CHARGER","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"12V WATER BOY CHARGER",-5,17.97,"MINT",,38.95,"","MBCWB"
,"Active","Inventory Part","MBDFCL","DUAL FCT CHARGER LEAD","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"DUAL FCT CHARGER LEAD",-1,3.38,"MOTOBATT",,34.95,"","MBDFCL"
,"Active","Inventory Part","MBGLXL","MB GLOVES TECHNICIAN LG/LX","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"MB GLOVES TECHNICIAN LG/LX",-18,0.75,"MINT",,3.95,"","MBGLXL"
,"Active","Inventory Part","MBGSM","MOTOBATT GLOVES SM-M","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"MOTOBATT GLOVES SM-M",-8,0.75,"MINT",,3.95,"","MBGSM"
,"Active","Inventory Part","MBHD12H","MOTOBATT QUADFLEX BATTERY MBHD12H","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"MOTOBATT QUADFLEX BATTERY MBHD12H",-4,49.34,"MOTOBATT",,209.95,"","MBHD12H"
,"Active","Inventory Part","MBJ4500","MOTOBATT JUMP STARTER","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"MOTOBATT JUMP STARTER",-2,91.48,"MINT",,249.95,"","MBJ4500"
,"Active","Inventory Part","MBLVBA","LOW VOLTAGE BATTERY ALERT","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"LOW VOLTAGE BATTERY ALERT",-11,1.85,"MINT",,14.95,"","MBLVBA"
,"Active","Inventory Part","MBMAP","21"" 18G CABLE/CAR PLU","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"21"" 18G CABLE/CAR PLU",-15,1.49,"MINT",,7.49,"","MBMAP"
,"Active","Inventory Part","MBPROPLUS","MOTOBATT BATTERY TESTER WITH PRINTER","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"MOTOBATT BATTERY TESTER WITH PRINTER",-2,161.41,"MINT",,649.95,"","MBPROPLUS"
,"Active","Inventory Part","MBRACKS","YELLOW MOTOBATT RACKS","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"YELLOW MOTOBATT RACKS",-25,32.00,"MOTOBATT",,50.00,"","MBRACKS"
,"Active","Inventory Part","MBRTC","CAP WEATHER REPLACEMENT","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"CAP WEATHER REPLACEMENT",-59,0.13,"MINT",,1.29,"","MBRTC"
,"Active","Inventory Part","MBT","MOTOBATT LOAD TESTER","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"MOTOBATT LOAD TESTER",-3,12.50,"MINT",,54.95,"","MBT"
,"Active","Inventory Part","MBT12B4","MOTOBATT QUADFLEX BATTERY MBT12B4","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"MOTOBATT QUADFLEX BATTERY MBT12B4",-46,17.68,"MOTOBATT",,83.95,"","MBT12B4"
,"Active","Inventory Part","MBT14B4","MBT14B4  MOTOBATT NEW","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"MBT14B4  MOTOBATT NEW",-2,21.37,"MOTOBATT",,89.95,"","MBT14B4"
,"Active","Inventory Part","MBT4BB","MBT4BB MOTOBATT SEALED BATTERY","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"MBT4BB MOTOBATT SEALED BATTERY",-98,5.64,"MOTOBATT",,35.95,"","MBT4BB"
,"Active","Inventory Part","MBT6N4","MOTOBATT QUADFLEX","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"MOTOBATT QUADFLEX",-2,5.50,"MOTOBATT",,37.95,"","MBT6N4"
,"Active","Inventory Part","MBT6N6","MOTOBATT QUADFLEX BATTERY MBT6N6","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"MOTOBATT QUADFLEX BATTERY MBT6N6",-1,7.09,"MOTOBATT",,38.95,"","MBT6N6"
,"Active","Inventory Part","MBT9B4","MOTOBATT QUADFLEX MBT9B4 BATTERY","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"MOTOBATT QUADFLEX MBT9B4 BATTERY",-64,14.97,"MOTOBATT",,73.95,"","MBT9B4"
,"Active","Inventory Part","MBTX12U","MBTX12U QUADFLEX BATTERY","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"MBTX12U QUADFLEX BATTERY",-239,22.18,"MOTOBATT",,83.95,"","MBTX12U"
,"Active","Inventory Part","MBTX14AU","MOTOBATT QUADFLEX BATTERY MBTX14AU..","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"MOTOBATT QUADFLEX BATTERY MBTX14AU..",-1,28.09,"MOTOBATT",,107.95,"","MBTX14AU"
,"Active","Inventory Part","MBTX16U","MOTOBATT QUADFLEX BATTERY MBTX16U","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"MOTOBATT QUADFLEX BATTERY MBTX16U",-27,26.55,"MOTOBATT",,118.95,"","MBTX16U"
,"Active","Inventory Part","MBTX20U","QUADFLEX MOTOBATT BATTERY","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"MBTX20U QUADFLEX BATTERY",-304,32.72,"MOTOBATT",,136.95,"","MBTX20U"
,"Active","Inventory Part","MBTX20UHD","MOTOBATT QUADFLEX MBTX20UHD BATTERY","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"MOTOBATT QUADFLEX MBTX20UHD BATTERY",-70,33.65,"MOTOBATT",,147.95,"","MBTX20UHD"
,"Active","Inventory Part","MBTX24U","MBTX24U QUADFLEX BATTERY","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"MBTX24U QUADFLEX BATTERY",-57,0.00,"MOTOBATT",,128.95,"",
,"Active","Inventory Part","MBTX30U","MBTX30U QUADFLEX MOTOBATT BATTERY","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"MBTX30U QUADFLEX MOTOBATT BATTERY",-134,48.50,"MOTOBATT",,190.95,"","MBTX30U"
,"Active","Inventory Part","MBTX30UHD","QUADFLEX MOTOBATT BATTERY MBTX30UHD BLACK","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"QUADFLEX MOTOBATT BATTERY MBTX30UHD BLACK",-27,48.46,"MOTOBATT",,199.95,"","MBTX30UHD"
,"Active","Inventory Part","MBTX4U","MBTX4U QUADFLEX BATTERY","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"MBTX4U QUADFLEX BATTERY",-93,9.75,"MOTOBATT",,35.95,"","MBTX4U"
,"Active","Inventory Part","MBTX7ABS","MBTX7ABS MOTOBATT","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"MBTX7ABS MOTOBATT",-10,10.17,"MOTOBATT",,49.95,"","MBTX7ABS"
,"Active","Inventory Part","MBTX7U","MBTX7U QUADFLEX BATT","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"MBTX7U QUADFLEX BATT",-28,13.67,"MOTOBATT",,59.95,"","MBTX7U"
