,"Active Status","Type","Item","Description","Sales Tax Code","Account","COGS Account","Asset Account","Accumulated Depreciation","Purchase Description","Quantity On Hand","Cost","Preferred Vendor","Tax Agency","Price","Reorder Pt (Min)","MPN"
,"Active","Inventory Part","81012PCS","DIRTY HARRY BK W/ G15","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"DIRTY HARRY BK W/ G15",-639,2.55,"PACIFIC COAST",,10.95,"","81012PCS"
,"Active","Inventory Part","8660","86-60 POWERTRON","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"86-60 POWERTRON",1,45.00,"BATTERY DISTRIBUTORS",,79.95,"","8660"
,"Active","Inventory Part","86BLEM 90 DAY","86BLEM 90 DAY WARRANTY","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"86BLEM 90 DAY WARRANTY",-1,22.00,"INTERSTATE BATTERY",,42.95,"","86BLEM"
,"Active","Inventory Part","891925","REAR LIFT STAND BLACK","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"REAR LIFT STAND BLACK",-3,0.00,"MOTOACCESSORIES",,39.95,"","891925"
,"Active","Inventory Part","899994","CENTER T STAND BLUE","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"CENTER T STAND BLUE",-1,0.00,"SHINER",,39.95,"","899994"
,"Active","Inventory Part","8A24DM","DEKA SEA MATE 24 MAR","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"DEKA SEA MATE 24 MAR",-1,133.50,"BATTERY DISTRIBUTORS",,174.95,"","8A24DM"
,"Active","Inventory Part","9060","GRP 90 POWERTRON","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"GRP 90 POWERTRON",0,56.50,"BATTERY DISTRIBUTORS",,124.95,"","90/60"
,"Active","Inventory Part","9100","8 GA 1/4"" TINNED LUG","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"8 GA 1/4"" TINNED LUG",-4,0.24,,,0.79,"","9100"
,"Active","Inventory Part","91006","TINNED 8 GA 5/16 LUG","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"TINNED 8 GA 5/16 LUG",-4,0.245,"FTZ INDUSTRIES",,0.69,"","91006"
,"Active","Inventory Part","91007","8 GA 3/8 TIN PLATED L","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"8 GA 3/8 TIN PLATED L",-4,0.245,"FTZ INDUSTRIES",,0.69,"","91007"
,"Active","Inventory Part","9100PCS","AIRFOIL WINDPROOF LENS KIT..(BLK FRAME/ SM, YL, CL LENSES)","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"AIRFOIL WINDPROOF LENS KIT..(BLK FRAME/ SM, YL, CL LENSES)",-13,10.70,"PACIFIC COAST",,34.95,"","9100PCS"
,"Active","Inventory Part","91016","6 GA 5/16 TINNED LUG","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"6 GA 5/16 TINNED LUG",-10,0.263,"FTZ INDUSTRIES",,0.99,"","91016"
,"Active","Inventory Part","91017","6  GA  3/8  TIN PLATED","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"6  GA  3/8  TIN PLATED",-20,0.263,"FTZ INDUSTRIES",,0.99,"","91017"
,"Active","Inventory Part","91026","TIN  PLATED 4GA5/16LUG","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"TIN  PLATED 4GA5/16LUG",-2,0.334,"FTZ INDUSTRIES",,0.96,"","91026"
,"Active","Inventory Part","91027","TIN PLATED 4 GA 3/8 L","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"TIN PLATED 4 GA 3/8 L",-4,0.334,"FTZ INDUSTRIES",,0.95,"","91027"
,"Active","Inventory Part","91029","4 GA 1/2""  TIN-PLATED LUG","Tax","61000 · PRODUCT PURCHASES","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"4 GA 1/2""  TIN-PLATED LUG",0,0.334,"FTZ",,0.99,"",
,"Active","Inventory Part","91037","TIN PLATED 2 GA 3/8 L","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"TIN PLATED 2 GA 3/8 L",-17,0.433,"FTZ INDUSTRIES",,0.99,"","91037"
,"Active","Inventory Part","91076","3/0 5/16 TIN PLATED","Tax","52900 · Purchases - Resale Items","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"3/0 5/16 TIN PLATED",0,0.774,"FTZ",,1.59,"",
,"Active","Inventory Part","910A","N ALKALINE","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"N ALKALINE",-100,0.25,"ENERGIZER BATTERY CO.",,0.98,"","910A"
,"Active","Inventory Part","9110PCS","AIRFOIL FOLDING","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"AIRFOIL FOLDING",-7,8.75,"PACIFIC COAST",,28.95,"","9110PCS"
,"Active","Inventory Part","91200PCS","AIRFOIL BK W/ SM AND CL","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"AIRFOIL BK W/ SM AND CL",-1,11.55,"PACIFIC COAST",,40.95,"","91200PCS"
,"Active","Inventory Part","9200PCS","AIRFOIL BK/ SM W/ FOAM","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"AIRFOIL BK/ SM W/ FOAM",0,9.35,"PACIFIC COAST",,28.95,"","9200PCS"
,"Active","Inventory Part","9300PCS","AIRFOIL BK W/ SL MIRROR","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"AIRFOIL BK W/ SL MIRROR",-98,12.45,"PACIFIC COAST",,34.95,"","9300PCS"
,"Active","Inventory Part","9305PCS","AIRFOIL CLEAR/ BK FRA","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"AIRFOIL CLEAR/ BK FRA",-45,12.45,"PACIFIC COAST",,34.95,"","9305PCS"
,"Active","Inventory Part","9311PCS","AIRFOIL DAY2NITE","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"AIRFOIL DAY2NITE",12,33.30,"PACIFIC COAST",,99.95,"","9311PCS"
,"Active","Inventory Part","9360","GRP 93 POWERTON 60 MTH","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"GRP 93 POWERTON 60 MTH",-1,77.00,"BATTERY DISTRIBUTORS",,126.45,"","9360"
,"Active","Inventory Part","94R60","GRP 94R GERMAN STYLE","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"GRP 94R GERMAN STYLE",1,92.34,"BATTERY DISTRIBUTORS",,153.95,"","94R60"
,"Active","Inventory Part","A514C","WINDSCREEN ACRYLIC CLEAR","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"WINDSCREEN ACRYLIC CLEAR",0,7.00,"MOTOACCESSORIES",,44.95,"","A514C"
,"Active","Inventory Part","A612S","WINDSCREEN ACRYLIC SM","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"WINDSCREEN ACRYLIC SM",-1,7.00,"MOTOACCESSORIES",,44.95,"","A612S"
,"Active","Inventory Part","A702S","WINDSCREEN ACRYLIC SM","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"WINDSCREEN ACRYLIC SM",0,7.00,"MOTOACCESSORIES",,44.95,"","A702S"
,"Active","Inventory Part","A802C","WINDSCREEN ACRYLIC CL","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"WINDSCREEN ACRYLIC CL",-1,7.00,"MOTOACCESSORIES",,44.95,"","A802C"
,"Active","Inventory Part","A810S","WINDSCREEN ACRYLIC SM","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"WINDSCREEN ACRYLIC SM",-1,7.00,"MOTOACCESSORIES",,44.95,"","A810S"
,"Active","Inventory Part","A823B","SIDE MOUNT BATTERY BOLT","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"SIDE MOUNT BATTERY BOLT",-2,0.08,"FTZ INDUSTRIES",,0.99,"","99513"
,"Active","Inventory Part","AA600B","AA  600MAH  W/BUTTON","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"AA  600MAH  W/BUTTON",-426,0.32,"JINDA",,0.00,"","AA600B"
,"Active","Inventory Part","AA700B","AA 700MAH BUTTON TOP","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"AA 700MAH BUTTON TOP",-98,0.32,"JINDA",,1.16,"","AA700B"
,"Active","Inventory Part","AA800","AA 800 NICAD FLAT HD","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"AA 800 NICAD FLAT HD",-4,0.63,"JINDA",,2.60,"","AA800"
,"Active","Inventory Part","AA800T","AA  800 MAH W/TABS","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"AA  800 MAH W/TABS",-37,0.35,"JINDA",,0.00,"","AA800T"
,"Active","Inventory Part","AA900B","AA  900MAH  W/BUTTON","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"AA  900MAH  W/BUTTON",-249,0.35,"JINDA",,0.00,"","AA900B"
,"Active","Inventory Part","AAAA","AAAA  ALKALINE BATTERY","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"AAAA  ALKALINE BATTERY",887,0.21,"ENERGIZER BATTERY CO.",,1.53,"","AAAA"
,"Active","Inventory Part","AACASEBLUE","AA   AAA   AAAA  BLUE CASE","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"AA   AAA   AAAA  BLUE CASE",-685,0.125,"MOTOACCESSORIES",,1.50,"","AACASEBLUE"
,"Active","Inventory Part","AACASEGREEN","AA  AAA  AAAA  GREENCASE","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"AA  AAA  AAAA  GREENCASE",-698,0.12,"MOTOACCESSORIES",,1.50,"","AACASEGREEN"
,"Active","Inventory Part","AACASERED","AA  AAA  AAAA  RED","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"AA  AAA  AAAA  RED",-572,0.12,"MOTOACCESSORIES",,1.50,"","AACASERED"
,"Active","Inventory Part","AACASEWHITE","AA  AAA   AAAA  WHITE","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"AA  AAA   AAAA  WHITE",-717,0.12,"MOTOACCESSORIES",,1.50,"","AACASEWHITE"
,"Active","Inventory Part","AACASEYL","AA  AAA   AAAA   CASE YELLOW","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"AA  AAA   AAAA   CASE YELLOW",-129,0.125,"MOTOACCESSORIES",,1.50,"","AACASEYL"
,"Active","Inventory Part","AC522","2 GA 1FT RED CABLE","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"2 GA 1FT RED CABLE",-285,0.936,"DHC",,3.09,"","AC522"
,"Active","Inventory Part","AC522B","2  GA  1 FT CABLE BLACK","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"2  GA  1 FT CABLE BLACK",-155,0.936,"DHC",,3.09,"","AC522B"
,"Active","Inventory Part","AC524","4 GA 1FT CABLE RED","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"4 GA 1FT CABLE RED",-777,0.568,"DHC",,1.61,"","AC524"
,"Active","Inventory Part","AC524B","4  GA 1 FT CABLE BLACK","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"4  GA 1 FT CABLE BLACK",-490,0.568,"DHC",,1.61,"","AC524B"
,"Active","Inventory Part","ACCENTBLFM","ACCENT  BL W/ FM LENS","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"ACCENT  BL W/ FM LENS",-3,6.65,"GLOBAL VISION",,20.00,"","ACCENTBLFM"
,"Active","Inventory Part","ACCENTGYFM","ACCENT  GY  W/FM LENS","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"ACCENT  GY  W/FM LENS",-4,6.65,"GLOBAL VISION",,20.00,"","ACCENTGYFM"
,"Active","Inventory Part","ACCENTORFM","ACCENT  OR  W/ FM LENS","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"ACCENT  OR  W/ FM LENS",-3,6.65,"GLOBAL VISION",,20.00,"","ACCENTORFM"
,"Active","Inventory Part","ACCENTPRFM","ACCENT PR W/ FM LENS","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"ACCENT PR W/ FM LENS",-4,6.65,"GLOBAL VISION",,20.00,"","ACCENTPRFM"
,"Active","Inventory Part","ACCENTSLFM","ACCENT  SL  W/  FM  LENS","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"ACCENT  SL  W/  FM  LENS",-5,6.65,"GLOBAL VISION",,20.00,"","ACCENTSLFM"
,"Active","Inventory Part","ADT","REPLACEMENT ADT BATTERY","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"REPLACEMENT ADT BATTERY",-25,2.131,"JINDA",,14.95,"","ADT"
,"Active","Inventory Part","ADT1000","ADT HI MAH BATTERY","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"ADT HI MAH BATTERY",-38,2.95,"JINDA",,19.95,"","ADT1000"
,"Active","Inventory Part","ADVENTCL","ADVENTURE W/CL LENS","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"ADVENTURE W/CL LENS",-8,2.20,"GLOBAL VISION",,14.99,"","ADVENTCL"
,"Active","Inventory Part","ADVENTCLM","ADVENTURE W/CL MIRROR","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"ADVENTURE W/CL MIRROR",-4,5.00,"GLOBAL VISION",,14.99,"","ADVENTCLM"
,"Active","Inventory Part","ADVENTDM","ADVENTURE W/ DRM LENS","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"ADVENTURE W/ DRM LENS",-2,5.00,"GLOBAL VISION",,14.99,"","ADVENTDM"
,"Active","Inventory Part","ADVENTPKSM","ADVENTURE PINK W/SM","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"ADVENTURE PINK W/SM",-15,6.65,"GLOBAL VISION",,19.99,"","ADVENTPKSM"
,"Active","Inventory Part","ADVENTPRSM","ADVENTURE PURPLE W/SM","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"ADVENTURE PURPLE W/SM",-4,6.65,"GLOBAL VISION",,19.99,"","ADVENTPRSM"
,"Active","Inventory Part","ADVENTSM","ADVENTURE W/ SM LENS","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"ADVENTURE W/ SM LENS",-23,5.00,"GLOBAL VISION",,14.99,"","ADVENTSM"
,"Active","Inventory Part","ADVENTYTM","ADVENTURE W/ YL MIRROR","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"ADVENTURE W/ YL MIRROR",-2,2.20,"GLOBAL VISION",,14.99,"","ADVENYTM"
,"Active","Inventory Part","AF1400","NICAD 1400 MAH FAT A CELL..","Tax","52900 · Purchases - Resale Items","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"NICAD 1400 MAH FAT A CELL..",0,1.30,,,4.85,"",
,"Active","Inventory Part","AG1","AG1 WATCH BATTERY","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"AG1 WATCH BATTERY",-210,0.013,"WAMA",,0.50,"","AG1"
,"Active","Inventory Part","AG10","AG10 WATCH BATTERY","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"AG10 WATCH BATTERY",-12164,0.02,"WAMA",,0.50,"","AG10"
,"Active","Inventory Part","AG11","AG11  WATCH BATTERY","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"AG11  WATCH BATTERY",-680,0.022,"WAMA",,0.50,"","AG11"
,"Active","Inventory Part","AG12","AG12 WATCH BATTERY","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"AG12 WATCH BATTERY",-381,0.022,"WAMA",,0.50,"","AG12"
,"Active","Inventory Part","AG13","AG13 WATCH BATTERY","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"AG13 WATCH BATTERY",-26080,0.02,"WAMA",,1.75,"","AG13"
,"Active","Inventory Part","AG2","AG2 WATCH BATTERY","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"AG2 WATCH BATTERY",-2280,0.025,"WAMA",,0.50,"","AG2"
,"Active","Inventory Part","AG3","AG3 WATCH BATTERY","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"AG3 WATCH BATTERY",-5798,0.014,"WAMA",,0.50,"","AG3"
,"Active","Inventory Part","AG4","AG4 WATCH BATTERY","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"AG4 WATCH BATTERY",-22120,0.014,"WAMA",,0.50,"","AG4"
,"Active","Inventory Part","AG5","AG5 WATCH BATTERY","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"AG5 WATCH BATTERY",-894,0.018,"WAMA",,0.50,"","AG5"
,"Active","Inventory Part","AG6","AG6 WATCH BATTERY","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"AG6 WATCH BATTERY",-1077,0.025,"WAMA",,0.50,"","AG6"
,"Active","Inventory Part","AG7","AG7 WATCH BATTERY","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"AG7 WATCH BATTERY",-1986,0.025,"WAMA",,0.50,"","AG7"
,"Active","Inventory Part","AG8","AG8  WATCH  BATTERY","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"AG8  WATCH  BATTERY",-440,0.022,"WAMA",,0.50,"","AG8"
,"Active","Inventory Part","AIRJACKCL","AIR JACKET W/ CL LENS","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"AIR JACKET W/ CL LENS",-5,2.20,"GLOBAL VISION",,14.99,"","AIRJACKCL"
,"Active","Inventory Part","AIRJACKSM","AIR  JACKET  W/ SM LENS","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"AIR  JACKET  W/ SM LENS",-7,5.00,"GLOBAL VISION",,14.99,"","AIRJACKSM"
,"Active","Inventory Part","AL2100BAT","Alco 2100 REPLACEMENT DOOR LOCK BATTERY MADE BY SUNN BATTERY","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"Alco 2100 REPLACEMENT DOOR LOCK BATTERY MADE BY SUNN BATTERY",-10,11.09,"Sunn Battery Co.",,20.16,"","AL2100-HHO-BATTERT"
,"Active","Inventory Part","ALLCL","ALL STAR W CLEAR LENS","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"ALL STAR W CLEAR LENS",-23,3.16,"JANEZHUO MFG LTD",,11.00,"","ALLCL"
,"Active","Inventory Part","ALLKIT1","ALL-STAR KIT SM & CL","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"ALL-STAR KIT SM & CL",-2,18.00,"JANEZHUO MFG LTD",,59.60,"","ALLKIT1"
,"Active","Inventory Part","ALLSM","ALL STAR W SMOKE LENS","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"ALL STAR W SMOKE LENS",-25,3.16,"JANEZHUO MFG LTD",,11.00,"","ALLSM"
,"Active","Inventory Part","ANTITILT","ANTI TILT AND ANTI WOBBLE BRACKETS","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"ANTI TILT AND ANTI WOBBLE BRACKETS",-1,0.00,"SHINER",,0.00,"","ANTITILT"
,"Active","Inventory Part","AP6N63B-1","EBC BATTERY","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"EBC BATTERY",-1,4.25,"MOTOACCESSORIES",,15.00,"","AP6N63B-1"
,"Active","Inventory Part","AQUAOVS","AQUA OVERSIZE COVER","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"AQUA OVERSIZE COVER",-1,14.90,"Q & A PAC",,38.40,"","AQUAOVS"
,"Active","Inventory Part","AQUAREG","AQUA REG CHAIR COVER","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"AQUA REG CHAIR COVER",-8,11.39,"Q & A PAC",,25.50,"","AQUAREG"
,"Active","Inventory Part","AQUASM","AQUA SMALL CHAIR COVER","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"AQUA SMALL CHAIR COVER",-1,9.03,"Q & A PAC",,22.50,"","AQUASM"
,"Active","Inventory Part","ASSASSINRDSM","ASSASSIN  RD  W/SM  LENS","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"ASSASSIN  RD  W/SM  LENS",-1,6.00,"GLOBAL VISION",,18.00,"","ASSASSINRDSM"
,"Active","Inventory Part","ATTBKBL","NEW ATTITUDE BL LENS","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"NEW ATTITUDE BL LENS",-13,3.50,"GLOBAL VISION",,6.00,"","ATTBKBL"
,"Active","Inventory Part","ATTBKCL","ATTITUDE BK W/ CL LENS","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"ATTITUDE BK W/ CL LENS",-14,1.75,"GLOBAL VISION",,12.00,"","ATTBKCL"
,"Active","Inventory Part","ATTBKOR","NEW ATTITUDE W ORANGE","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"NEW ATTITUDE W ORANGE",-26,3.50,"GLOBAL VISION",,6.00,"","ATTBKOR"
,"Active","Inventory Part","ATTBKPR","NEW ATTITUDE W PURPLE","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"NEW ATTITUDE W PURPLE",-21,3.50,"GLOBAL VISION",,6.00,"","ATTBKPR"
,"Active","Inventory Part","ATTBKRD","NEW ATTITUDE RED LENS","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"NEW ATTITUDE RED LENS",-7,3.50,"GLOBAL VISION",,6.00,"","ATTBKRD"
,"Active","Inventory Part","ATTBKSD","NEW ATTITUDE SUPER DK","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"NEW ATTITUDE SUPER DK",-102,3.50,"GLOBAL VISION",,12.00,"","ATTBKSD"
,"Active","Inventory Part","ATTBKSM","NEW ATTITUDE W/ SMOKE","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"NEW ATTITUDE W/ SMOKE",-18,3.50,"GLOBAL VISION",,6.00,"","ATTBKSM"
,"Active","Inventory Part","ATTBKYT","NEW ATT BK FRAME YELLOW","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"NEW ATT BK FRAME YELLOW",-38,1.75,"GLOBAL VISION",,12.00,"","ATTBKYT"
,"Active","Inventory Part","ATTKBRD","NEW ATTITUDE RED LENS","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"NEW ATTITUDE RED LENS",-37,3.50,"GLOBAL VISION",,6.00,"","ATTKBRD"
,"Active","Inventory Part","AVANTGARDSM","AVANT GARD W/SM LENS","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"AVANT GARD W/SM LENS",-4,6.00,"GLOBAL VISION",,18.00,"","AVANTGARDSM"
,"Active","Inventory Part","AVAPEX1.5CL","AVAPEX   1.50  CL GLASSES","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"AVAPEX   1.50  CL GLASSES",-10,2.67,"GLOBAL VISION",,14.95,"","AVAPEX1.5CL"
,"Active","Inventory Part","AVAPEX1.5SM","APEX 1.5 W/SM LENS","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"APEX 1.5 W/SM LENS",126,2.67,"GLOBAL VISION",,10.00,"","AVAPEX1.5SM"
,"Active","Inventory Part","AVAPEX2.0CL","AVIA  2.0 CLEAR GLASS","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"AVIA  2.0 CLEAR GLASS",-5,5.33,"GLOBAL VISION",,14.95,"","AVAPEX2.0CL"
,"Active","Inventory Part","AVAPEX2.0SM","APEX  2.0  W  SMOKE LENS","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"APEX  2.0  W  SMOKE LENS",-65,2.67,"GLOBAL VISION",,10.00,"","AVAPEX2.0SM"
,"Active","Inventory Part","AVAPEX2.5CL","AVIS 2.5 CLEAR GLASS","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"AVIS 2.5 CLEAR GLASS",-16,2.67,"GLOBAL VISION",,14.95,"","AVAPEX2.5CL"
,"Active","Inventory Part","AVAPEX2.5SM","APEX 2.5 W/SM LENS","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"APEX 2.5 W/SM LENS",-35,5.33,"GLOBAL VISION",,10.00,"","AVAPEX2.5SM"
,"Active","Inventory Part","AVIATOR1M","AVIATOR 1 W/ MIRROR LENS","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"AVIATOR 1 W/ MIRROR LENS",-2,6.00,"GLOBAL VISION",,18.00,"","AVIATOR1M"
,"Active","Inventory Part","AVIATOR1SM","DISCONTINUED","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"DISCONTINUED",-2,6.00,"GLOBAL VISION",,18.00,"","AVIATOR1SM"
,"Active","Inventory Part","AVIATOR2DRM","AVIATOR2   DISCONTINUED  DRM","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"AVIATOR2   DISCONTINUED  DRM",-2,8.33,"GLOBAL VISION",,25.00,"","AVIATOR2DRM"
,"Active","Inventory Part","AVIATOR3BKSM","AVIATOR3/ DISCONTINUED","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"AVIATOR3/ DISCONTINUED",-23,10.00,"GLOBAL VISION",,30.00,"","AVIATOR3BKSM"
